Date,Total
2004/01,66.4
2004/02,66.7
2004/03,66.9
2004/04,67.5
2004/05,68.2
2004/06,68.8
2004/07,68.8
2004/08,69.2
2004/09,69.3
2004/10,69.4
2004/11,69.7
2004/12,69.9
2005/01,70
2005/02,70.2
2005/03,70.5
2005/04,70.8
2005/05,71.2
2005/06,71.8
2005/07,71.9
2005/08,72
2005/09,72.2
2005/10,72.5
2005/11,72.6
2005/12,72.6
2006/01,73.1
2006/02,73.3
2006/03,73.4
2006/04,73.6
2006/05,73.8
2006/06,74.1
2006/07,74.4
2006/08,74.8
2006/09,74.9
2006/10,74.8
2006/11,75.1
2006/12,75.1
2007/01,75.2
2007/02,75.3
2007/03,75.4
2007/04,75.4
2007/05,75.7
2007/06,76.1
2007/07,76.2
2007/08,76.5
2007/09,76.7
2007/10,76.7
2007/11,77.2
2007/12,77.3
2008/01,78
2008/02,78.4
2008/03,78.6
2008/04,78.7
2008/05,78.7
2008/06,79
2008/07,79
2008/08,79.1
2008/09,79.1
2008/10,79.1
2008/11,79
2008/12,79.1
2009/01,79.1
2009/02,79.1
2009/03,78.9
2009/04,78.5
2009/05,78.3
2009/06,78.3
2009/07,78.4
2009/08,78.5
2009/09,78.9
2009/10,79.1
2009/11,79.4
2009/12,79.9
2010/01,80.2
2010/02,80
2010/03,80.2
2010/04,80.3
2010/05,80.7
2010/06,80.9
2010/07,80.8
2010/08,81
2010/09,81
2010/10,81.2
2010/11,81.5
2010/12,81.6
2011/01,81.8
2011/02,82.2
2011/03,82.3
2011/04,82.8
2011/05,83.3
2011/06,83.8
2011/07,84
2011/08,84.2
2011/09,84.4
2011/10,84.7
2011/11,85.3
2011/12,85.4
2012/01,85.5
2012/02,85.9
2012/03,86.3
2012/04,86.5
2012/05,86.9
2012/06,87.2
2012/07,87.3
2012/08,87.5
2012/09,87.8
2012/10,88
2012/11,88.2
2012/12,88.4
2013/01,88.5
2013/02,88.5
2013/03,88.6
2013/04,88.7
2013/05,88.8
2013/06,88.8
2013/07,89
2013/08,89.1
2013/09,89.1
2013/10,89.2
2013/11,89.3
2013/12,89.4
2014/01,89.5
2014/02,89.8
2014/03,89.8
2014/04,90.2
2014/05,90.2
2014/06,90.4
2014/07,90.4
2014/08,90.7
2014/09,90.9
2014/10,91
2014/11,91.1
2014/12,91.2
2015/01,91.2
2015/02,91.4
2015/03,91.6
2015/04,91.8
2015/05,92.1
2015/06,92.6
2015/07,92.8
2015/08,93.3
2015/09,93.4
2015/10,93.8
2015/11,93.9
2015/12,94.1
2016/01,94.2
2016/02,94.6
2016/03,94.8
2016/04,95.3
2016/05,96.6
2016/06,97
2016/07,97.8
2016/08,98.2
2016/09,98.5
2016/10,99.5
2016/11,99.9
2016/12,100
2017/01,100.3
